365    5    207
7.979314439906538 2.6142798372270546 2.2795694095425514 
4    1     0     98     194     4     9	C
5    1     2     27     199     5     7	C
1    2     3     201     149     1     9	D
2    1     3     207     95     6     15	D
6    2     6     325     33     9     28	A
0    1     7     97     22     7     4	C
7    0     7     28     93     5     16	C
8    1     8     14     174     9     18	B
3    2     9     83     120     2     25	D
9    1     9     116     106     4     26	D
-1
