423    16    225
3.8422879590081305 5.820908197883772 3.8768446358601327 
0    0     0     320     102     1     20	A
1    2     0     421     59     1     1	D
2    1     0     142     129     4     11	D
3    0     0     275     17     5     3	B
4    0     0     183     74     4     14	D
5    2     0     306     69     2     6	C
6    2     0     5     224     1     24	D
7    1     0     249     102     3     29	A
8    1     0     405     145     6     25	B
9    1     0     343     11     2     18	A
10    2     0     50     59     3     18	A
11    2     0     296     119     7     21	B
12    2     0     103     178     1     4	D
13    0     0     163     36     3     22	A
14    1     0     297     209     9     9	A
15    1     0     28     181     2     26	A
16    0     0     70     140     6     21	D
17    1     0     277     111     4     23	D
18    0     0     337     84     4     17	C
19    0     0     46     5     9     3	A
20    2     0     310     218     3     27	A
21    1     0     223     43     2     6	B
22    0     0     16     207     1     6	C
23    2     0     114     196     5     29	B
24    1     0     119     137     6     3	D
25    1     0     370     211     5     4	A
26    2     0     91     206     3     22	C
27    1     0     243     171     4     26	B
28    2     0     64     188     1     4	D
29    2     0     158     194     1     28	A
30    0     0     171     29     6     6	A
31    0     0     17     97     8     18	A
32    2     0     121     97     9     14	C
33    2     0     171     217     3     1	A
34    0     0     34     178     1     24	A
35    1     0     372     102     4     15	B
36    1     0     78     57     7     6	A
37    0     0     243     30     7     22	B
38    0     1     18     119     2     24	D
39    2     1     249     62     7     20	A
40    0     1     67     84     1     27	D
41    2     1     288     159     6     15	B
42    2     1     321     151     6     7	C
43    1     1     79     5     1     17	B
44    1     1     93     44     5     24	D
45    1     1     240     53     8     14	C
46    2     1     194     120     6     22	C
47    2     1     391     123     8     6	A
48    2     1     240     8     7     24	C
49    2     1     3     219     8     9	C
50    0     1     295     93     5     29	A
51    2     1     323     162     1     11	B
52    2     1     339     57     8     24	A
53    1     1     17     219     7     26	D
54    0     1     70     36     8     26	C
55    1     1     231     6     7     20	B
56    0     1     360     207     3     9	D
57    2     1     169     114     4     10	D
58    2     1     198     163     1     18	B
59    2     1     256     85     4     3	B
60    1     1     277     20     4     15	B
61    0     1     275     132     4     3	A
62    2     1     48     73     3     25	B
63    1     1     192     152     6     29	B
64    2     1     324     187     6     11	A
65    0     1     80     66     5     25	B
66    0     1     49     209     2     5	C
67    0     1     394     103     4     6	A
68    2     1     326     19     4     5	B
69    0     1     376     32     2     13	D
70    1     1     248     39     2     8	A
71    1     1     80     95     1     14	A
72    2     2     9     154     6     11	D
73    2     2     384     177     3     16	C
74    1     2     22     204     3     23	A
75    0     2     315     190     9     4	B
76    1     2     228     161     9     28	C
77    0     2     340     147     8     1	A
78    2     2     74     50     8     3	A
79    0     2     298     214     5     13	D
80    1     2     52     187     7     7	A
81    2     2     211     19     3     8	B
82    1     2     381     38     1     17	B
83    0     2     69     105     2     17	B
84    2     2     330     156     9     14	A
85    1     2     183     176     5     6	A
86    2     2     97     106     5     2	B
87    2     2     153     20     9     29	C
88    2     2     328     187     9     23	A
89    1     2     235     12     9     18	C
90    0     2     32     132     6     24	B
91    2     2     388     92     7     5	C
92    0     2     196     175     8     29	C
93    1     2     176     147     8     12	B
94    1     2     229     194     6     18	C
95    2     2     1     179     2     25	D
96    1     2     37     141     1     2	A
97    2     2     310     55     7     15	D
98    0     2     303     165     4     7	C
99    2     2     140     132     6     6	A
100    1     2     169     139     4     14	C
101    2     2     55     114     4     5	A
102    2     2     407     149     8     28	D
103    0     2     307     109     1     10	C
104    2     2     241     120     9     21	A
105    0     2     153     35     7     13	D
106    0     2     3     205     7     16	A
107    1     2     150     84     9     13	C
108    2     2     191     61     3     13	D
109    2     3     350     29     7     14	C
110    1     3     5     44     4     19	B
111    1     3     214     134     8     5	C
112    0     3     75     189     9     9	A
113    0     3     204     177     6     15	B
114    1     3     63     110     1     28	D
115    2     3     185     94     4     26	C
116    2     3     88     65     7     11	D
117    2     3     23     65     3     21	D
118    0     3     70     194     6     2	B
119    0     3     400     207     2     26	B
120    2     3     267     203     8     26	A
121    1     3     139     201     5     14	B
122    2     3     175     15     6     16	D
123    2     3     15     31     9     14	C
124    1     3     275     153     3     20	D
125    1     3     72     9     3     17	B
126    0     3     178     113     7     11	A
127    0     3     25     216     9     7	B
128    1     3     305     139     8     4	A
129    0     3     107     205     1     21	C
130    2     3     190     96     4     22	B
131    1     3     261     89     9     10	C
132    1     3     170     89     8     2	B
133    2     3     57     95     2     29	D
134    2     3     167     185     7     18	C
135    2     3     80     35     1     4	C
136    0     4     65     37     1     28	D
137    0     4     421     161     1     17	B
138    1     4     143     79     8     18	D
139    1     4     297     43     2     7	A
140    2     4     16     125     1     18	A
141    2     4     416     178     1     22	B
142    1     4     125     109     2     18	C
143    1     4     220     101     5     16	D
144    0     4     131     87     7     15	D
145    0     4     24     38     1     24	A
146    1     4     251     124     4     24	B
147    1     4     159     48     4     22	A
148    2     4     68     93     7     29	A
149    1     4     303     12     9     27	C
150    2     4     209     182     1     27	A
151    2     4     267     209     6     20	C
152    2     4     37     177     6     15	A
