161    12    160
3.616203539901438 0.7594973402854965 0.2885222900687445 
0    0     0     136     151     8     11	A
1    1     0     127     95     5     2	B
2    0     0     95     48     4     10	D
3    2     2     36     62     9     12	C
4    3     2     107     43     3     14	D
5    2     3     85     158     5     6	B
6    1     3     76     157     4     7	C
7    3     3     136     61     3     8	A
8    3     3     26     27     2     15	B
9    3     3     89     130     7     22	D
10    2     3     26     10     4     1	A
11    1     4     30     7     9     21	D
12    3     4     39     103     5     25	B
13    0     5     148     8     3     14	D
14    0     5     13     19     5     7	D
15    1     7     147     83     3     2	D
16    1     7     69     85     9     19	D
17    3     7     102     141     1     7	C
18    1     8     147     114     9     7	B
19    1     8     65     146     6     9	D
-1
