75    10    216
2.966632194282223 5.662255128993957 1.6779999651174171 
0    0     0     50     53     2     8	D
1    2     0     74     93     2     1	D
2    2     0     33     56     1     3	D
3    2     0     22     133     2     22	C
4    3     0     26     209     5     6	D
5    2     0     69     41     4     13	B
6    3     1     35     162     4     16	D
7    1     1     27     187     9     2	C
8    1     1     50     114     9     23	D
9    2     1     17     96     1     26	A
10    0     1     3     51     2     8	A
11    3     1     5     1     8     2	C
12    2     2     19     171     8     26	D
13    0     2     1     45     1     4	A
14    3     2     16     47     9     25	C
15    2     2     14     192     8     20	B
16    1     2     57     84     9     14	C
17    3     2     2     114     3     11	B
18    2     2     72     82     9     28	C
19    0     2     35     23     9     3	A
20    3     2     4     25     8     4	B
21    2     2     40     84     7     8	B
22    3     2     17     167     3     6	D
23    3     2     62     102     6     1	C
24    1     2     38     113     9     14	A
25    2     2     63     115     7     23	D
26    2     2     39     20     1     12	A
27    2     3     39     214     9     13	B
28    3     3     74     212     4     19	D
29    3     3     33     78     6     16	B
30    2     3     14     83     3     20	A
31    0     3     40     67     6     10	D
32    0     3     56     5     3     9	C
33    0     4     67     8     2     28	C
34    1     4     37     190     8     8	B
35    3     4     36     17     3     17	D
36    3     4     3     9     6     26	B
37    1     4     74     24     4     10	A
38    1     4     46     10     4     17	D
39    0     4     45     179     4     7	D
40    3     4     20     134     4     11	D
41    2     4     1     157     6     13	C
42    3     4     25     44     5     14	C
43    3     5     58     23     7     20	A
44    2     5     33     199     3     7	C
45    1     5     26     199     4     28	D
46    1     5     71     114     4     21	C
47    3     5     52     204     3     18	D
48    2     5     65     28     9     26	B
49    1     5     67     110     2     14	D
50    3     5     26     209     8     18	C
51    1     5     51     176     5     29	D
52    3     5     30     154     2     15	D
53    3     5     49     61     6     1	C
54    1     5     65     211     5     23	B
55    3     5     51     166     3     22	A
56    1     5     43     125     2     19	C
57    1     5     15     87     6     5	D
58    2     5     40     170     1     11	D
59    2     5     9     178     3     23	B
60    1     5     17     58     9     4	A
61    0     6     39     102     1     12	C
62    3     6     55     202     6     16	C
63    3     6     22     80     6     28	D
64    0     6     5     66     6     21	B
65    2     6     10     172     2     7	D
66    0     6     51     206     7     1	A
67    1     6     5     214     9     23	B
68    1     6     24     195     7     4	D
69    2     6     49     126     4     27	C
70    3     6     32     184     2     1	C
71    2     7     24     178     1     24	C
72    3     7     8     27     7     5	D
73    2     7     74     213     6     3	D
74    2     7     60     30     9     25	B
75    1     7     47     158     5     13	A
76    2     7     20     131     9     28	D
77    0     7     51     63     9     8	A
78    2     7     24     9     9     19	D
79    3     7     37     95     2     29	C
80    1     7     53     202     4     26	D
81    0     7     9     139     5     6	A
82    3     8     22     169     9     18	C
83    0     8     63     15     8     15	B
84    0     8     64     148     9     11	B
85    2     8     14     126     3     5	C
86    3     8     41     34     5     13	B
87    3     8     28     38     7     16	B
88    2     8     11     190     4     9	B
89    3     8     53     193     8     16	B
90    1     9     55     113     7     11	A
91    0     9     24     60     7     14	D
92    0     9     49     56     4     29	B
93    3     9     22     15     7     6	A
94    3     9     50     212     8     6	A
95    1     9     24     161     1     6	A
96    3     9     51     156     5     2	C
97    0     9     29     50     9     3	C
98    0     9     24     188     3     12	B
99    3     9     58     25     6     28	A
-1
